市区町村コード,転入_総人数,転入65歳以上,転入25歳～29歳,転入30歳～34歳,転入35歳～39歳,転出_総人数,転出65歳以上,転出25歳～29歳,転出30歳～34歳,35歳～39歳
15101,2018,128,379,245,178,2193,138,398,255,158
15102,4716,283,964,666,405,4878,264,918,692,430
15103,9376,425,1844,1130,776,9217,488,1688,1193,787
15104,2492,145,538,369,229,2220,129,405,305,187
15105,1915,108,391,302,172,1805,87,353,213,146
15106,1086,85,204,156,102,1177,59,253,147,106
15107,5460,346,956,646,425,5068,290,951,555,352
15108,1013,68,200,135,86,1310,70,272,126,90
15202,5661,266,1091,701,478,6345,276,1160,708,474
15204,1474,72,322,222,128,1985,69,409,260,143
15205,1654,86,311,195,108,1992,133,342,200,151
15206,2385,113,447,295,181,2460,94,468,286,175
15208,572,33,109,93,49,887,64,168,102,66
15209,359,16,71,40,40,636,36,111,65,42
15210,753,55,142,101,57,1157,119,150,112,89
15211,906,54,196,118,98,872,35,187,102,76
15212,977,59,157,114,91,1285,65,223,122,88
15213,1688,69,392,255,119,1759,47,352,251,134
15216,639,33,124,80,50,940,67,115,100,77
15217,672,69,106,90,51,917,56,174,107,75
15218,666,49,122,81,49,984,56,190,115,91
15222,4112,178,791,508,368,4651,202,810,485,298
15223,716,61,123,107,68,863,37,175,121,61
15224,964,84,166,91,67,1202,82,193,116,73
15225,578,35,103,61,49,879,87,118,79,46
15226,1112,73,189,144,75,1412,79,227,153,112
15227,586,37,109,81,48,736,37,132,89,55
15300,394,18,87,37,38,555,22,85,64,36
15307,394,18,87,37,38,555,22,85,64,36
15340,135,15,16,15,16,170,15,36,13,11
15342,135,15,16,15,16,170,15,36,13,11
15360,199,18,27,29,14,265,15,40,29,19
15361,199,18,27,29,14,265,15,40,29,19
15380,139,17,20,15,10,269,41,40,29,18
15385,139,17,20,15,10,269,41,40,29,18
15400,116,31,14,17,6,104,16,33,9,5
15405,116,31,14,17,6,104,16,33,9,5
15460,454,73,73,57,23,427,53,76,47,26
15461,454,73,73,57,23,427,53,76,47,26
15480,154,30,19,21,15,180,22,23,16,13
15482,154,30,19,21,15,180,22,23,16,13
15500,85,3,17,15,8,138,18,23,10,14
15504,85,3,17,15,8,138,18,23,10,14
15580,142,22,23,15,10,201,25,28,11,14
15581,99,21,17,12,8,167,22,25,10,10
15586,43,1,6,3,2,34,3,3,1,4
16000,23901,1237,4733,3135,2094,25796,1187,5104,3206,2078
16001,22168,1102,4419,2851,1932,23619,1050,4667,2962,1907
16002,1733,135,314,284,162,2177,137,437,244,171
16201,9636,446,1881,1210,827,9681,333,1877,1196,784
16202,4031,192,804,513,355,4334,191,809,584,368
16204,953,55,246,122,79,1133,64,226,140,97
16205,570,45,103,77,53,899,57,180,110,61
16206,957,39,247,118,79,952,43,212,116,72
16207,1083,53,217,114,100,1172,74,252,142,90
16208,1239,79,241,168,113,1437,58,304,186,116
16209,586,33,99,89,45,620,29,129,90,58
16210,778,47,133,130,62,1035,74,220,115,76
16211,2335,113,448,310,219,2356,127,458,283,185
16320,1047,67,212,181,89,1194,66,246,136,97
16321,176,6,36,35,22,117,6,27,15,6
16322,320,25,57,47,26,467,22,83,50,43
16323,551,36,119,99,41,610,38,136,71,48
16340,686,68,102,103,73,983,71,191,108,74
16342,513,48,70,85,53,657,34,125,75,57
16343,173,20,32,18,20,326,37,66,33,17
17000,34351,1612,6405,4502,2859,35987,1577,6893,4372,2859
17001,31182,1382,5845,4088,2576,32287,1313,6152,3949,2600
17002,3169,230,560,414,283,3700,264,741,423,259
17201,15063,650,2686,1860,1214,15486,537,3015,1868,1284
17202,1044,72,176,139,82,1406,94,278,154,109
17203,3258,110,682,460,287,3333,110,640,475,302
17204,584,33,60,53,30,941,52,116,56,44
17205,185,19,29,19,17,332,41,40,31,29
17206,1385,61,249,187,127,1724,107,326,199,130
17207,458,37,102,60,45,598,40,106,78,40
17209,1117,59,244,186,92,933,34,168,122,76
17210,3018,160,592,509,260,2812,147,597,351,199
17211,1553,59,304,180,137,1617,56,348,178,141
17212,3517,122,721,435,285,3105,95,518,437,246
17320,114,4,32,19,6,116,2,26,14,6
17324,114,4,32,19,6,116,2,26,14,6
17360,1849,103,343,255,160,1792,98,398,215,142
17361,1101,56,207,159,103,1042,43,223,128,86
17365,748,47,136,96,57,750,55,175,87,56
17380,523,43,80,62,44,791,51,141,87,60
17384,272,26,38,35,26,452,35,80,51,27
17386,251,17,42,27,18,339,16,61,36,33
17400,283,29,52,36,35,331,32,57,42,15
17407,283,29,52,36,35,331,32,57,42,15
17460,400,51,53,42,38,670,81,119,65,36
17461,152,22,26,19,15,229,28,44,21,11
17463,248,29,27,23,23,441,53,75,44,25
18000,19467,881,4026,2872,1722,20937,930,4090,2721,1666
18001,17316,734,3619,2557,1579,18298,779,3553,2398,1473
18002,2151,147,407,315,143,2639,151,537,323,193
18201,6426,272,1323,943,552,6831,259,1277,927,568
18202,1808,63,407,247,157,2066,90,378,248,172
18204,718,29,166,76,74,821,39,145,103,64
18205,420,31,94,54,27,747,41,149,90,55
18206,357,23,63,59,36,476,30,92,86,29
18207,1973,71,413,318,206,1785,83,346,243,145
18208,672,38,119,102,61,814,50,183,88,58
18209,2940,93,594,481,319,2456,98,495,326,235
18210,2002,114,440,277,147,2302,89,488,287,147
18320,542,31,88,86,38,479,25,112,54,27
18322,542,31,88,86,38,479,25,112,54,27
18380,51,6,9,6,7,80,9,13,9,12
18382,51,6,9,6,7,80,9,13,9,12
18400,148,16,26,21,11,266,18,59,31,23
18404,148,16,26,21,11,266,18,59,31,23
18420,345,37,70,49,21,491,28,105,58,34
18423,345,37,70,49,21,491,28,105,58,34
18440,332,14,79,43,19,324,18,59,52,32
18442,332,14,79,43,19,324,18,59,52,32
18480,477,24,94,84,32,627,29,123,77,48
18481,278,13,56,46,21,386,21,71,46,31
18483,199,11,38,38,11,241,8,52,31,17
18500,256,19,41,26,15,372,24,66,42,17
18501,256,19,41,26,15,372,24,66,42,17
19000,28416,2004,5028,3545,2414,29865,1743,5449,3605,2317
19001,23545,1625,4133,2925,2004,24758,1348,4468,2975,1941
19002,4871,379,895,620,410,5107,395,981,630,376
19201,7500,443,1303,920,630,7240,348,1292,889,625
19202,1484,79,314,208,131,1634,80,315,217,115
19204,1180,73,199,127,66,1612,37,279,162,72
19205,859,71,152,125,81,882,44,175,95,59
19206,462,39,77,45,35,792,55,120,85,64
19207,895,70,179,93,81,1191,78,231,141,97
19208,1919,125,362,269,178,2026,95,381,242,169
19209,1613,222,173,145,131,1345,156,236,103,89
19210,3152,179,611,427,272,3002,131,512,375,249
19211,1917,157,349,250,159,2149,166,364,297,178
19212,517,38,95,55,55,666,52,119,87,41
19213,629,68,80,70,58,803,55,163,94,53
19214,1418,61,239,191,127,1416,51,281,188,130
19340,339,35,49,45,29,380,31,71,40,21
19346,339,35,49,45,29,380,31,71,40,21
19360,787,100,138,100,60,1120,142,196,111,83
19364,48,5,11,3,3,69,14,15,8,2
19365,242,45,39,30,13,360,62,44,34,30
19366,117,16,16,14,10,187,31,32,20,14
19368,380,34,72,53,34,504,35,105,49,37
19380,1306,68,255,169,127,1182,42,220,162,119
19384,1306,68,255,169,127,1182,42,220,162,119
19420,2368,174,442,298,190,2358,167,478,307,149
19422,48,3,7,5,9,65,11,10,9,3
19423,101,5,22,13,11,159,18,34,23,6
19424,556,25,114,64,27,584,20,109,83,46
19425,326,46,53,33,26,277,32,69,32,11
19429,119,27,11,12,9,115,18,19,12,6
19430,1218,68,235,171,108,1158,68,237,148,77
19440,71,2,11,8,4,67,13,16,10,4
19442,41,1,8,4,2,44,10,10,7,3
19443,30,1,3,4,2,23,3,6,3,1
20000,63928,4411,11543,8104,5553,65751,3904,11811,7753,5232
20001,49802,3042,9226,6409,4420,51469,2595,9329,6173,4162
20002,14126,1369,2317,1695,1133,14282,1309,2482,1580,1070
20201,10282,517,1890,1311,917,10639,369,1879,1294,892
20202,9080,402,1695,1100,804,8871,351,1566,1074,767
20203,4089,262,784,495,324,4328,182,797,500,335
20204,1223,79,227,172,94,1470,73,289,162,120
20205,2414,154,487,349,170,3104,191,546,341,233
20206,1883,122,363,269,157,1883,109,347,282,152
20207,1458,91,275,181,132,1332,75,268,145,93
20208,1431,98,252,195,159,1469,90,282,190,116
20209,1872,138,330,250,172,2098,125,387,253,158
20210,946,87,190,103,81,1061,64,174,131,90
20211,1106,93,220,159,111,1171,74,207,140,85
20212,783,59,119,101,84,922,90,162,88,66
20213,451,41,71,57,38,638,79,103,72,38
20214,1830,152,341,198,156,1893,105,330,207,173
20215,2337,113,454,312,205,2449,112,461,315,201
20217,3239,229,605,415,298,3059,166,568,367,248
20218,1637,108,268,243,160,1511,104,308,188,114
20219,910,51,191,123,82,898,44,157,138,68
20220,2831,246,464,376,276,2673,192,498,286,213
20300,1155,67,265,161,81,1065,83,196,109,75
20303,114,17,16,9,11,145,21,18,15,15
20304,501,6,157,92,23,362,14,86,46,16
